user_id,subscription_duration,recent_login_time,average_login_time,average_time_per_learning_session,monthly_active_learning_days,total_completed_courses,recent_learning_achievement,abandoned_learning_sessions,community_engagement_level,preferred_difficulty_level,subscription_type,customer_inquiry_history,payment_pattern,target
b919c29d,13,14,14.94616267,8.427187446,18,16,68.36045451,3,4,Low,Basic,4,5,0
a0a60abb,16,18,18.45322373,72.64608659,16,13,97.5673218,2,3,Medium,Basic,1,6,1
b9f171ae,22,1,16.19522797,21.7744924,13,14,94.35876337,3,4,Medium,Premium,0,7,1
5dc0ba8b,1,19,17.62865575,42.65906625,19,18,70.15322825,0,3,Low,Basic,1,0,1
65c83654,4,5,21.39065588,30.74428701,19,10,81.91790765,2,4,Medium,Basic,3,0,1
b7586b82,4,4,17.27400687,34.03418876,21,8,74.37102806,2,4,High,Basic,5,7,0
682ca511,8,23,10.62989727,116.4559492,12,10,58.70838959,0,2,Low,Basic,0,6,1
8c948022,10,20,14.75171315,67.82139293,10,16,88.56777664,3,5,Low,Premium,1,1,1
9e6713d2,20,4,12.62458167,37.3842103,8,8,63.62439481,4,4,High,Basic,0,0,1
0eac44aa,22,8,10.54553649,18.69627258,5,10,57.64699179,5,4,Medium,Basic,4,7,1
594da7eb,19,21,13.95344949,135.2568341,13,11,76.41448061,0,4,High,Basic,2,1,0
b8696d56,5,28,18.47454519,117.1345989,9,9,97.78623688,6,3,Medium,Premium,2,3,0
25c57932,7,22,15.39256128,176.3047795,16,10,69.10085004,4,5,High,Premium,2,0,1
10774096,13,8,12.74419699,75.28560329,10,14,76.78304817,6,5,High,Basic,0,1,1
aba89783,2,27,10.30333732,2.71212437,20,8,82.49191161,4,5,Low,Basic,4,6,0
4716e6cb,7,22,9.743146882,79.12168488,24,13,91.06680148,2,3,Low,Basic,3,6,0
d35c46d7,8,19,12.35599132,18.75393308,19,13,87.81068802,1,5,High,Premium,2,1,0
26d9ebe2,15,24,18.18745132,36.72276296,14,10,92.62893458,3,3,High,Basic,0,6,1
61bf854a,18,19,18.51901803,8.389999465,20,8,65.80616029,3,5,Medium,Basic,1,0,1
